,Name,RA,Dec,r,theta,radius.kpc,x,y,Fe_H,error,v_helio,error2,V_M31,V_sig
326,B382-G317,11.543,41.62791667,0.74,60.58,10,0.6417,0.3618,-1.9,0.2,-295.4,11.2,4.4,11.6
327,B383-G318,11.54975,41.32816667,0.65,84.54,8.9,0.6497,0.0621,-0.6,0.2,-228.1,1.7,71.2,3.4
328,B384-G319,11.591375,40.28322222,1.2,144.85,16.4,0.6919,-0.9826,-0.7,0.2,-358.4,6.8,-60.6,7.4
329,B386-G322,11.6125,42.03133333,1.03,41.99,14,0.6893,0.7658,-1.1,0.2,-391.8,11.3,-91.6,11.7
330,B387-G323,11.639625,40.73705556,0.9,126.13,12.2,0.7237,-0.5283,-2.2,0.2,12.1,14,310.4,14.3
331,G327-MVI,11.70620833,42.74630556,1.66,26.86,22.6,0.7505,1.4819,-1.6,0.1,-270.3,0.2,30.6,3
332,B391-G328,11.74208333,41.56569444,0.85,69.16,11.5,0.7913,0.3013,-1.2,0.2,-324.2,9.7,-24.9,10.2
333,B393-G330,11.755,41.40175,0.81,80.29,11.1,0.8029,0.1374,-0.9,0.3,-371.6,14.5,-72.5,14.8
334,B396-G335,11.85479167,40.36169444,1.27,135.32,17.3,0.8918,-0.9018,-2,0.4,-612.4,28.3,-315,28.5
335,B397-G336,11.86345833,41.20288889,0.89,93.89,12.1,0.887,-0.0604,-1.2,0.2,-118.8,14.4,179.8,14.7
336,B398-G341,11.99075,41.81266667,1.12,60.5,15.2,0.9736,0.5508,-0.4,0.3,-242.7,13,56.5,13.3
337,B399-G342,11.998125,41.59119444,1.04,71.47,14.1,0.9825,0.3294,-1.7,0.6,-427.8,27.1,-128.9,27.3
339,B401-G344,12.03541667,41.67830556,1.09,67.55,14.9,1.009,0.4169,-1.9,0.4,-326.1,20.7,-27.2,20.9
340,B402-G346,12.15045833,42.02633333,1.33,54.86,18.1,1.0891,0.7664,-0.7,0.3,-448.9,24.2,-149.7,24.4
342,B337D,12.29666667,41.1225,1.22,96.37,16.6,1.2145,-0.1355,-1.7,0.7,-222.1,23,75.5,23.2
343,B403-G348,12.32341667,41.58558333,1.27,75.02,17.3,1.2259,0.3279,-0.9,0.2,-258.5,11,39.7,11.4
344,B405-G351,12.41583333,41.59158333,1.34,75.48,18.2,1.295,0.3353,-1.2,0.2,-171.2,15.1,126.9,15.4
345,B407-G352,12.54145833,41.68358333,1.45,72.8,19.8,1.387,0.4293,-0.5,0.2,-305.9,15.2,-8,15.5
