,Name,RA,Dec,r,theta,radius.kpc,x,y,Fe_H,error,v_helio,error2,V_M31,V_sig
135,B110-G172,10.63791667,41.05788889,0.21,189.45,2.9,-0.0352,-0.2114,-0.7,0.2,-237,0.5,63.7,3
136,NB16,10.638,41.338,0.08,333.03,1,-0.035,0.0687,-1.4,0.5,-95.1,36.5,206,36.6
137,B111-G173,10.63820833,41.00736111,0.26,187.61,3.6,-0.035,-0.2619,-1.3,0.2,-407.8,0.7,-107.2,3.1
138,B260,10.63829167,41.52355556,0.26,352.24,3.5,-0.0347,0.2543,-0.6,0.3,-182.8,1.2,118.5,3.2
139,B112-G174,10.63858333,41.29511111,0.04,306.79,0.6,-0.0346,0.0258,0.3,0.2,-275.7,0.4,25.3,3
140,B114-G175,10.64291667,41.21247222,0.06,208.89,0.9,-0.0313,-0.0568,-2.2,0.4,-231.9,3.5,69,4.6
141,B117-G176,10.64325,40.95258333,0.32,185.63,4.3,-0.0312,-0.3167,-1.7,0.2,-528.1,0.7,-227.6,3.1
142,NB17-AU014,10.64333333,41.29205556,0.04,306.32,0.5,-0.031,0.0228,-1.3,0.3,-316.9,13.4,-15.9,13.7
143,B115-G177,10.643375,41.23388889,0.05,221.21,0.6,-0.031,-0.0354,0.1,0.2,-600.6,0.5,-299.7,3
144,B116-G178,10.64391667,41.54761111,0.28,353.76,3.8,-0.0304,0.2783,-0.6,0.2,-347.3,0.5,-46,3
146,B064D-NB6,10.64808333,41.24286111,0.04,226.1,0.5,-0.0274,-0.0264,-1.1,0.2,20.7,0.7,321.6,3.1
147,B119-NB14,10.65045833,41.29316667,0.04,312.98,0.5,-0.0256,0.0239,-0.8,0.3,-380.3,0.5,-79.3,3
148,B351-G179,10.65825,42.19186111,0.92,358.79,12.6,-0.0195,0.9227,-1.5,0.7,-325.1,21.8,-22.9,22
149,NB21-AU005,10.65825,41.26636111,0.02,261.63,0.3,-0.0198,-0.0029,-1.1,0.3,-632.4,29.7,-331.5,29.9
150,B352-G180,10.659125,42.03697222,0.77,358.59,10.5,-0.0189,0.7677,-1.5,0.2,-291.4,10.8,10.6,11.2
151,B068D,10.66625,41.34441667,0.08,349.62,1,-0.0138,0.0751,-0.5,0.4,-202.2,11.5,98.8,11.9
152,B122-G181,10.667125,41.563,0.29,357.45,4,-0.0131,0.2937,-1.2,0.2,-436.2,11.3,-134.9,11.7
153,B123-G182,10.66941667,41.17594444,0.09,186.97,1.3,-0.0114,-0.0933,-0.7,0.2,-371.5,0.6,-70.7,3.1
154,B124-NB10,10.67266667,41.25658333,0.02,215.21,0.2,-0.009,-0.0127,-0.5,0.2,-26.2,0.5,274.7,3
155,B125-G183,10.676125,41.09194444,0.18,182.06,2.4,-0.0064,-0.1773,-1.5,0.2,-670.1,0.5,-369.4,3
156,DAO55,10.67708333,40.49083333,0.78,180.42,10.6,-0.0057,-0.7785,-0.8,0.5,-425.4,1.6,-125.6,3.4
157,B126-G184,10.68208333,41.21188889,0.06,181.88,0.8,-0.0019,-0.0574,-1.5,0.2,-169.6,3.4,131.2,4.5
158,B127-G185,10.68541667,41.24486111,0.02,178.53,0.3,6.00E-04,-0.0244,-0.7,0.2,-526.5,0.6,-225.6,3.1
159,NB89,10.68658333,41.24561111,0.02,176.36,0.3,0.0015,-0.0237,-0.9,0.3,-336.1,9.8,-35.2,10.2
160,B072D,10.69079167,41.4575,0.19,1.42,2.6,0.0047,0.1882,-0.9,0.3,-262.5,11.8,38.6,12.2
161,BH16,10.69208333,41.29338889,0.02,13.16,0.3,0.0056,0.0241,-0.2,0.3,-99.9,1.1,201,3.2
162,B523-NB18,10.69308333,41.309,0.04,9.13,0.5,0.0064,0.0397,-1.3,0.3,-210.2,39,90.7,39.1
163,B354-G186,10.6985,42.00686111,0.74,0.8,10,0.0103,0.7376,-1.6,0.5,-172.6,17,129.3,17.3
164,B128-G187,10.69920833,41.18716667,0.08,172.37,1.1,0.011,-0.0821,-0.6,0.2,-384,0.4,-83.2,3
165,NB41,10.70075,41.26683333,0.01,101.37,0.2,0.0122,-0.0024,0,0.3,-329.9,14.4,-29,14.7
166,B129,10.70145833,41.4185,0.15,4.85,2,0.0127,0.1492,-0.8,0.2,-46,0.7,255.1,3.1
167,NB39-AU006,10.70229167,41.26322222,0.01,114.46,0.2,0.0133,-0.0061,-1.4,0.3,-297.1,14.3,3.8,14.6
168,B130-G188,10.70358333,41.49797222,0.23,3.56,3.1,0.0142,0.2287,-1.2,0.2,-22.7,0.5,278.5,3
169,B262,10.70854167,41.32447222,0.06,18.05,0.8,0.018,0.0552,-1.3,0.3,-340.1,1.3,-39.2,3.3
170,BH18,10.711375,41.17594444,0.1,167.81,1.3,0.0202,-0.0933,0.1,0.3,-517.7,14.5,-217,14.8
171,B131-G189,10.71170833,41.28536111,0.03,51.72,0.4,0.0204,0.0161,-0.7,0.2,-472,0.5,-171.1,3
172,B132-NB15,10.71433333,41.26130556,0.02,109.61,0.3,0.0224,-0.008,-0.5,0.3,70.5,0.5,371.3,3
173,B134-G190,10.71520833,41.23433333,0.04,146.61,0.6,0.023,-0.0349,-0.9,0.2,-380.4,0.4,-79.6,3
174,B078D,10.71629167,41.36811111,0.1,13.54,1.4,0.0238,0.0988,-0.4,0.4,-36.4,14.2,264.6,14.5
175,B135-G192,10.71658333,41.51897222,0.25,5.48,3.4,0.024,0.2497,-1.8,0.2,-380.5,0.6,-79.3,3.1
176,B264-NB19,10.721625,41.27066667,0.03,87.13,0.4,0.0278,0.0014,-2.4,0.9,-49,38.7,251.8,38.8
177,B136-G194,10.7235,41.32622222,0.06,27.17,0.9,0.0292,0.057,-1.2,0.2,-627.6,16.7,-326.7,17
178,B137-G195,10.725,41.53733333,0.27,6.44,3.7,0.0303,0.2681,-1.5,0.2,-220.5,9.7,80.7,10.2
179,B138,10.73175,41.30975,0.05,41.19,0.7,0.0354,0.0405,0,0.2,-360.5,0.7,-59.6,3.1
180,PHF4-2,10.740875,41.30677778,0.06,48.42,0.8,0.0423,0.0375,-0.2,0.3,-249.5,14.2,51.3,14.5
181,AU010,10.74220833,41.28130556,0.04,74.46,0.6,0.0433,0.012,-0.5,0.3,-324.9,0.6,-24.1,3.1
182,B140-G196,10.74479167,41.14797222,0.13,159.5,1.8,0.0453,-0.1213,-0.1,0.3,-472.1,0.5,-171.5,3
183,B087D,10.7455,41.15244444,0.13,158.56,1.7,0.0459,-0.1168,-1.2,0.2,-675.3,0.7,-374.7,3.1
184,B141-G197,10.74704167,41.54652778,0.28,9.57,3.8,0.0467,0.2773,-1.4,0.2,-172.3,0.5,128.9,3
185,B143-G198,10.74858333,41.32202778,0.07,42.33,1,0.0481,0.0528,-0.1,0.2,-143.2,0.4,157.6,3
186,B144,10.74945833,41.26825,0.05,91.19,0.7,0.0488,-0.001,0.1,0.2,-16.9,0.5,283.9,3
187,B090D,10.755125,41.26955556,0.05,89.68,0.7,0.053,3.00E-04,-0.3,0.2,15.2,12.2,316,12.6
188,B091D-D058,10.756,41.50486111,0.24,12.79,3.3,0.0535,0.2356,-0.7,0.2,-122.3,0.5,178.8,3
189,B145,10.756625,41.20747222,0.08,138.74,1.1,0.0542,-0.0618,-1.2,0.4,-309.2,0.8,-8.5,3.1
190,B092D,10.75708333,41.21913889,0.07,132.58,1,0.0545,-0.0501,0.4,0.5,-321,11,-20.3,11.4
191,B265,10.758,40.88383333,0.39,171.8,5.3,0.0555,-0.3854,-0.8,0.3,-499.3,1.4,-199.1,3.3
192,B146,10.76225,41.25627778,0.06,102.53,0.8,0.0584,-0.013,-1,0.2,-25.6,0.6,275.1,3.1
193,AP5808,10.76375,41.28925,0.06,71.42,0.9,0.0595,0.02,0.2,0.3,-322.2,18.8,-21.4,19
194,B147-G199,10.76375,41.35597222,0.11,34.42,1.4,0.0594,0.0867,-0.1,0.2,-89.1,1.4,211.8,3.3
195,B266,10.76466667,41.67533333,0.41,8.38,5.6,0.0598,0.4061,-1,0.2,-168.7,0.7,132.6,3.1
196,BH23,10.76579167,41.34113889,0.09,40.3,1.3,0.061,0.0719,0.1,0.3,-300.2,10.4,0.6,10.8
197,B148-G200,10.766125,41.30133333,0.07,62.36,0.9,0.0613,0.0321,-1.1,0.2,-336.1,0.7,-35.3,3.1
198,AP2520,10.77079167,41.22008333,0.08,127.17,1.1,0.0648,-0.0492,-0.1,0.3,-331.3,11.1,-30.6,11.5
199,SK118C,10.771875,41.24122222,0.07,113.12,1,0.0656,-0.028,-0.2,0.2,-368.1,13.5,-67.4,13.8
200,B149-G201,10.77283333,41.57425,0.31,12.21,4.2,0.066,0.305,-1.3,0.2,-52.3,0.7,248.8,3.1
201,B467-G202,10.776875,42.03030556,0.76,5.15,10.4,0.0686,0.7611,-1.4,0.2,-282.4,17.3,19.3,17.6
202,B268,10.77995833,41.19661111,0.1,135.34,1.4,0.0718,-0.0726,-0.2,0.3,-234.5,0.9,66.1,3.1
203,B269,10.78075,41.45913889,0.2,20.78,2.8,0.0721,0.1899,-0.8,0.2,-320.3,9.5,-19.3,10
204,B150-G203,10.78133333,41.33877778,0.1,46.25,1.4,0.0726,0.0695,-0.3,0.2,-138.5,0.4,162.3,3
205,PHF6-1,10.78341667,41.30508333,0.08,64.23,1.1,0.0742,0.0358,-0.2,0.2,-118.7,0.6,182.1,3.1
206,B151-G205,10.78983333,41.35891667,0.12,41.37,1.6,0.079,0.0897,-0.6,0.2,-345.5,0.5,-44.7,3
207,SK059A,10.791125,41.31691667,0.09,59.21,1.3,0.08,0.0477,-0.2,0.3,-124.9,10.7,175.9,11.1
208,B152-G207,10.79175,41.30447222,0.09,66.36,1.2,0.0805,0.0352,-0.7,0.2,-134.7,0.4,166,3
209,B356-G206,10.79316667,41.84202778,0.58,8.04,7.9,0.0809,0.5728,-1.4,0.2,-186.2,16.5,115.3,16.8
210,B153,10.79429167,41.24761111,0.09,104.68,1.2,0.0825,-0.0216,-0.3,0.2,-247.8,0.5,52.9,3
211,AP1895,10.79916667,41.37397222,0.14,39.38,1.8,0.086,0.1048,-0.3,0.3,-252.8,14.1,48,14.4
212,B154-G208,10.80191667,41.26802778,0.09,90.77,1.2,0.0882,-0.0012,-0.2,0.2,-214.5,0.5,86.2,3
213,B468,10.80208333,39.79922222,1.47,176.49,20,0.0903,-1.4703,-0.7,0.1,-278,22,20.6,22.2
215,B155-G210,10.80579167,41.05786111,0.23,156.61,3.1,0.0914,-0.2114,-0.5,0.2,-417.8,0.7,-117.4,3.1
216,B156-G211,10.80720833,41.02163889,0.26,159.51,3.6,0.0925,-0.2476,-1.2,0.2,-374.6,0.5,-74.3,3
217,B157-G212,10.80833333,41.18880556,0.12,130.81,1.7,0.0931,-0.0804,-2.6,0.3,-14.3,1.3,286.3,3.3
218,B158-G213,10.81004167,41.12255556,0.17,147.2,2.4,0.0945,-0.1467,-0.8,0.2,-184.3,0.5,116.2,3
219,B159,10.81104167,41.42041667,0.18,32.09,2.4,0.0948,0.1512,-1.2,0.2,-526,0.5,-225.1,3
220,B160-G214,10.81220833,41.02655556,0.26,158.36,3.6,0.0963,-0.2427,-2.8,0.4,-358.1,1.2,-57.8,3.2
221,B161-G215,10.81429167,41.19027778,0.13,128.96,1.7,0.0976,-0.0789,-1.1,0.2,-450.8,0.5,-150.3,3
222,SK122C,10.81629167,41.50911111,0.26,22.35,3.5,0.0986,0.2399,-0.8,0.2,-305,10.2,-4,10.6
223,SK063A,10.81704167,41.46583333,0.22,26.78,3,0.0993,0.1966,0.3,0.3,-266.5,9.7,34.4,10.2
224,B162-G216,10.818375,41.40125,0.17,37.23,2.3,0.1004,0.132,-0.5,0.2,-135.6,0.5,165.2,3
225,B163-G217,10.8235,41.4625,0.22,28.3,3,0.1041,0.1933,-0.1,0.2,-163.5,0.5,137.4,3
226,B358-G219,10.82441667,39.82030556,1.45,175.76,19.8,0.1074,-1.4492,-1.9,0.1,-315,2,-16.5,3.6
227,B164-V253,10.82558333,41.20813889,0.12,119.92,1.7,0.1061,-0.0611,-0.3,0.3,55.1,0.6,355.6,3.1
228,AP1335,10.82579167,41.25963889,0.11,95.14,1.5,0.1062,-0.0096,0.3,0.3,-203.5,16.3,97.1,16.6
229,B165-G218,10.82591667,41.18186111,0.14,129.39,1.9,0.1064,-0.0873,-2,0.2,-63.9,0.7,236.6,3.1
230,B167,10.83804167,41.23563889,0.12,106.2,1.6,0.1154,-0.0335,-0.4,0.2,-200.7,0.4,99.9,3
231,B168,10.84383333,41.73488889,0.48,14.31,6.5,0.1188,0.4657,-0.6,0.2,-115.7,0.6,185.5,3.1
232,B169,10.84583333,41.25705556,0.12,95.7,1.7,0.1212,-0.0121,0.3,0.2,-131.3,0.4,169.3,3
233,B271,10.846125,41.424,0.2,38.04,2.7,0.1211,0.1548,-1.2,0.9,-359.1,1.4,-58.3,3.3
234,B170-G221,10.84779167,40.84494444,0.44,163.77,6,0.1235,-0.4242,-0.7,0.2,-291.3,0.6,8.7,3.1
235,B272-V294,10.85633333,41.61991667,0.37,20.1,5.1,0.1284,0.3508,-0.9,0.2,-99.9,4.1,201.1,5.1
236,B171-G222,10.85670833,41.26033333,0.13,93.9,1.8,0.1294,-0.0088,-0.3,0.2,-267.5,0.5,33.1,3
237,B172-G223,10.85833333,41.35877778,0.16,55.5,2.2,0.1304,0.0896,-0.6,0.2,-284.4,1.8,16.3,3.5
238,B173-G224,10.86983333,41.37694444,0.18,52.2,2.4,0.139,0.1078,-0.8,0.2,-316.8,0.5,-16.1,3
239,B174-G226,10.87629167,41.64894444,0.41,20.66,5.5,0.1433,0.3798,-1,0.2,-491.4,0.5,-190.3,3
240,B176-G227,10.876875,40.81975,0.47,162.06,6.4,0.1455,-0.4494,-1.6,0.2,-533.4,0.8,-233.5,3.1
241,B177-G228,10.87704167,41.09511111,0.23,140.19,3.1,0.145,-0.174,-1.2,0.2,-400.3,1.1,-100,3.2
242,B178-G229,10.87829167,41.35455556,0.17,59.56,2.3,0.1454,0.0854,-1.2,0.2,-148.9,0.5,151.7,3
243,B179-G230,10.87958333,41.30408333,0.15,76.57,2.1,0.1465,0.035,-1,0.2,-145,0.5,155.6,3
244,B180-G231,10.88216667,41.12955556,0.2,133.16,2.8,0.1488,-0.1396,-0.9,0.2,-196.7,0.4,103.6,3
245,B181-G232,10.88525,41.48538889,0.26,34.8,3.6,0.1503,0.2163,-0.5,0.2,-264.5,0.4,36.3,3
246,B182-G233,10.90275,41.13672222,0.21,128.85,2.9,0.1643,-0.1324,-1,0.2,-356.6,0.5,-56.3,3
247,B183-G234,10.90391667,41.034,0.29,144.86,3.9,0.1654,-0.2351,-0.5,0.2,-185.7,0.4,114.5,3
248,B185-G235,10.90533333,41.24544444,0.17,98.1,2.3,0.166,-0.0236,-0.6,0.2,-152.5,1.7,147.9,3.4
249,B184-G236,10.90633333,41.60958333,0.38,25.96,5.2,0.1658,0.3405,0.1,0.2,-154,6.9,146.9,7.5
250,B186,10.90929167,41.60669444,0.38,26.46,5.1,0.168,0.3376,0.2,0.3,-119.2,10.1,181.7,10.5
251,B187-G237,10.911,41.49641667,0.28,36.72,3.9,0.1696,0.2274,-1.6,0.3,-51.1,3.5,249.7,4.6
252,B274,10.914,41.52177778,0.31,34.2,4.2,0.1718,0.2527,-0.9,0.2,-338.3,18.3,-37.5,18.5
253,B188-G239,10.92295833,41.40711111,0.23,52.32,3.1,0.1788,0.1381,-1.7,0.2,-234,3.2,66.6,4.4
254,B189-G240,10.92675,41.58980556,0.37,29.45,5,0.1811,0.3208,0.4,0.2,-136.9,11.7,164,12.1
255,B190-G241,10.93079167,41.56833333,0.35,31.61,4.8,0.1842,0.2993,-1.2,0.2,-88.4,0.5,212.4,3
256,B194-G243,10.93825,41.10241667,0.25,131.07,3.5,0.1911,-0.1666,-1.4,0.2,-401.5,0.5,-101.3,3
257,B193-G244,10.93966667,41.616,0.4,28.79,5.4,0.1907,0.347,-0.1,0.2,-62.1,0.5,238.8,3
258,SK072A,10.94454167,41.3745,0.22,61.59,3,0.1951,0.1055,0,0.2,-137.2,5.4,163.4,6.2
259,B103D-G245,10.94808333,41.45222222,0.27,47.14,3.7,0.1975,0.1832,-0.8,0.2,-170.9,8.1,129.8,8.6
260,B472-D064,10.95175,41.44811111,0.27,48.19,3.7,0.2003,0.1791,-1,0.2,-120.5,0.5,180.1,3
261,SK073A,10.95216667,41.13011111,0.24,124.56,3.3,0.2015,-0.1389,-0.5,0.3,-443.4,7.3,-143.2,7.9
262,B196-G246,10.952375,40.71022222,0.59,160.03,8.1,0.203,-0.5588,-1.1,0.2,-320.1,0.7,-20.5,3.1
263,B197-G247,10.95716667,41.50280556,0.31,41.12,4.2,0.2041,0.2339,-0.3,0.2,-60,7.6,240.7,8.2
264,B199-G248,10.957625,40.97077778,0.36,145.34,4.9,0.2062,-0.2982,-1.5,0.2,-370.4,0.6,-70.4,3.1
265,B198-G249,10.95879167,41.53127778,0.33,38.04,4.5,0.2053,0.2623,-1,0.2,-2.3,7.7,298.4,8.3
266,B200,10.96016667,41.48969444,0.3,43.08,4.1,0.2064,0.2207,-1.4,0.3,-361.3,33.5,-60.6,33.6
267,B201-G250,10.970125,41.16613889,0.24,115.56,3.2,0.215,-0.1028,-1.1,0.2,-712.8,0.5,-412.6,3
268,B202-G251,10.977875,41.00902778,0.34,139.58,4.6,0.2213,-0.2599,-1.2,0.2,-346.4,0.5,-46.4,3
269,B203-G252,10.982625,41.54308333,0.35,39.13,4.8,0.2231,0.2742,-0.8,0.2,-236.9,0.5,63.8,3
270,B204-G254,10.98508333,41.36747222,0.25,66.39,3.4,0.2255,0.0986,-0.7,0.2,-363.5,0.5,-63,3
271,B361-G255,10.98791667,40.23366667,1.06,167.39,14.4,0.2316,-1.0353,-1.4,0.2,-341.5,10.2,-42.7,10.6
272,B205-G256,10.992375,41.41063889,0.27,58.44,3.7,0.2308,0.1418,-0.9,0.2,-379.8,0.5,-79.3,3
273,B206-G257,10.99429167,41.50502778,0.33,44.48,4.5,0.2319,0.2362,-1.1,0.2,-196.2,0.5,104.4,3
274,B110D-V296,10.99641667,41.61147222,0.41,34.24,5.6,0.2332,0.3426,-1.4,0.3,-265,1,35.8,3.2
275,B207-G258,10.99766667,41.10297222,0.29,125.11,3.9,0.2359,-0.1659,-1.3,0.2,-163.8,0.5,136.3,3
276,B208-G259,11.00033333,41.38655556,0.26,63.58,3.6,0.2369,0.1177,-0.4,0.2,-264.4,0.5,36.1,3
