"x","y","V_M31","V_sig","Fe_H","r","theta","Fe_H_err"
1.627266813,-1.897894286,77.6,3.1,-1.9,2.5,-0.862018118,0.2
1.572967898,-3.786260952,-201.4,3,-0.6,4.1,-1.177050048,0.2
1.586543078,1.524100083,215.6,3.1,-0.7,2.2,0.765326877,0.2
1.543964432,6.210972052,-138.5,3,-1.5,6.4,1.327148363,0.2
1.521974706,0.961037457,153.2,3.1,-1.3,1.8,0.56321775,0.2
1.432040604,-2.406088051,-236.9,3,-1.3,2.8,-1.033933049,0.2
1.411701053,-1.940901888,-282.2,3.1,-0.8,2.4,-0.941954197,0.2
1.33975193,0.406281634,24.1,4.1,-1,1.4,0.294437045,0.2
1.353765198,0.646002932,41,3.1,-1.4,1.5,0.445233492,0.3
1.300162756,-13.2362977,-68.6,12.9,-1.5,13.3,-1.472883356,0.2
1.247621109,10.32489426,87.8,23.3,-2.8,10.4,1.450543141,0.4
1.219456513,-3.387170768,-70.8,3.1,-0.7,3.6,-1.225221135,0.2
1.173805798,6.596376274,-45.4,3.1,-1.1,6.7,1.394692605,0.2
1.138870609,0.626876173,-24.6,10.9,-1.1,1.3,0.503178423,0.2
1.122133436,-8.223795751,-128.8,3.1,-1.7,8.3,-1.435184244,0.2
1.098626678,-0.482720854,117.7,3.1,-1.8,1.2,-0.413992098,0.2
1.033343567,4.994216763,-67.6,9.3,-1,5.1,1.366767337,0.2
0.991837974,3.668277175,-188,3.1,-1.8,3.8,1.306728011,0.2
1.007426772,-3.037283539,-106.4,3.1,-0.8,3.2,-1.250528409,0.2
0.916058142,-1.777874428,-125.6,3.1,-1,2,-1.095019573,0.2
0.900336424,8.653288064,35.5,26.6,-2,8.7,1.467123769,0.3
0.903595061,8.250667607,112.4,7.9,-0.8,8.3,1.461713249,0.2
0.927760156,1.303557092,-158.9,3,-1.2,1.6,0.95225164,0.2
0.784152562,-2.37383756,184.7,3,-1.4,2.5,-1.25175014,0.2
0.718562683,-3.731443108,-10.5,3.1,-0.8,3.8,-1.380555438,0.2
0.700982604,2.085335318,26.2,3,-1,2.2,1.246514152,0.2
0.732101699,-1.422683065,187.7,3.1,-1.3,1.6,-1.095543171,0.2
0.687769153,-11.6797677,-123.1,3.1,-1.4,11.7,-1.511978731,0.2
0.65944673,-5.963650728,-128,8.5,-0.9,6,-1.460666051,0.2
0.649838272,-1.785415979,-51.3,4,-1,1.9,-1.221730476,0.2
0.584326241,0.385438508,-68.1,3.1,-0.5,0.7,0.583114503,0.2
0.633066477,0.298708613,333.9,3.1,-1.4,0.7,0.440870168,0.3
0.576441923,3.249263718,61.1,7.2,-1,3.3,1.395216204,0.2
0.543613999,-0.839335344,234.6,3,-0.6,1,-0.996059404,0.2
0.573719397,0.819051924,-34.4,3,-1,1,0.959756555,0.2
0.476141855,-2.860644846,63.7,3,-0.7,2.9,-1.405862713,0.2
0.453523908,0.891244111,206,36.6,-1.4,1,1.100081027,0.5
0.476745797,-3.568292791,-107.2,3.1,-1.3,3.6,-1.437976771,0.2
0.472583534,3.467948212,118.5,3.2,-0.6,3.5,1.435358777,0.3
0.434816621,-0.787993976,69,4.6,-2.2,0.9,-1.066570705,0.4
0.421847141,-4.279257528,-227.6,3.1,-1.7,4.3,-1.47253429,0.2
0.402860791,0.296147232,-15.9,13.7,-1.3,0.5,0.633903583,0.3
0.413034835,3.777486231,-46,3,-0.6,3.8,1.461887781,0.2
0.360275556,-0.346700914,321.6,3.1,-1.1,0.5,-0.766199541,0.2
0.36579586,0.340871514,-79.3,3,-0.8,0.5,0.750142512,0.3
0.266073119,12.59719037,-22.9,22,-1.5,12.6,1.549677843,0.7
0.296804606,-0.043669508,-331.5,29.9,-1.1,0.3,-0.146084058,0.3
0.258369915,10.49682071,10.6,11.2,-1.5,10.5,1.546187184,0.2
0.180175803,0.983634424,98.8,11.9,-0.5,1,1.38963115,0.4
0.177964819,3.996039104,-134.9,11.7,-1.2,4,1.526290431,0.2
0.15775452,-1.290392774,-70.7,3.1,-0.7,1.3,-1.449146878,0.2
0.115314985,-0.163408856,274.7,3,-0.5,0.2,-0.956265898,0.2
0.086270489,-2.398448958,-369.4,3,-1.5,2.4,-1.534842544,0.2
0.077701362,-10.59971521,-125.6,3.4,-0.8,10.6,-1.563465944,0.5
0.026245042,-0.799569383,131.2,4.5,-1.5,0.8,-1.537984137,0.2
-0.007696058,-0.299901268,-225.6,3.1,-0.7,0.3,-1.596452668,0.2
-0.019046177,-0.299394795,-35.2,10.2,-0.9,0.3,-1.63432631,0.3
-0.06443096,2.599201541,38.6,12.2,-0.9,2.6,1.595580002,0.3
-0.079337527,0.49366543,90.7,39.1,-1.3,0.5,1.730144887,0.3
-0.139621803,9.99902524,129.3,17.3,-1.6,10,1.584758961,0.5
-0.146052908,-1.090260771,-83.2,3,-0.6,1.1,-1.703964948,0.2
-0.169094831,1.992838914,255.1,3.1,-0.8,2,1.655444796,0.2
-0.182050112,-0.082811574,3.8,14.6,-1.4,0.2,-2.714685118,0.3
-0.192490626,3.094017996,278.5,3,-1.2,3.1,1.632930048,0.2
